,CAR2,APOE,MPO,PRTN3,CTSG,CEBPA,FOXP1,RUNX1,CEBPE,GFI1,IRF8,FLI1,PBX1,MEF2C,MEIS1,GATA2,NFE2,TAL1,GATA1,KLF1,FLT3,SATB1,ELANE
W29956,0.0,14.27298069000244,7.136490345001222,2.3788301944732666,4.757660388946533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3788301944732666,0.0,3.5682451725006104,0.0,0.0,0.0,0.0
W30018,0.0,0.0,14.331045150756836,18.239511489868164,14.331045150756836,0.0,0.0,0.0,0.0,0.0,1.3028222322463991,0.0,0.0,0.0,0.0,0.0,2.6056444644927983,0.0,0.0,0.0,1.3028222322463991,0.0,0.0
W30161,0.0,8.19184684753418,0.0,4.09592342376709,4.09592342376709,0.0,4.09592342376709,0.0,0.0,0.0,0.0,0.0,0.0,4.09592342376709,0.0,4.09592342376709,12.287769317626953,4.09592342376709,0.0,0.0,0.0,0.0,0.0
W30258,0.0,8.889219284057617,11.428996086120605,11.428996086120605,0.0,0.0,0.0,1.2698885202407837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2698885202407837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W30296,0.0,0.0,64.3179931640625,27.56485366821289,15.313807487487793,0.0,0.0,0.0,0.0,1.0209205150604248,0.0,0.0,0.0,0.0,0.0,0.0,1.0209205150604248,0.0,0.0,0.0,0.0,0.0,7.1464433670043945
W30301,0.0,0.0,32.618057250976555,17.79166603088379,8.895833015441895,0.0,0.0,0.0,2.965277671813965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.93055534362793,0.0,0.0,0.0,0.0,0.0,2.965277671813965
W30306,0.0,0.0,25.174602508544922,7.746031761169434,3.873015880584717,0.0,0.0,0.0,0.0,0.0,5.809523582458496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.746031761169434,1.9365079402923584,3.873015880584717
W31106,0.0,1.323005437850952,53.58171844482422,31.09062767028809,5.292021751403809,0.0,1.323005437850952,1.323005437850952,0.6615027189254761,0.0,1.984508156776428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6615027189254761,1.323005437850952,0.0,0.6615027189254761,24.475601196289066
W31108,2.0768482685089107,0.0,43.61381149291992,30.73735427856445,19.52237319946289,0.8307393193244934,1.2461090087890625,0.0,1.2461090087890625,0.8307393193244934,0.0,0.8307393193244934,0.0,0.0,0.0,0.0,0.8307393193244934,0.0,0.0,0.4153696596622467,0.0,0.0,19.937744140625
W31110,1.188587307929993,0.0,46.35490417480469,38.03479385375977,9.50869846343994,0.0,1.188587307929993,4.754349231719972,0.0,1.188587307929993,0.0,1.188587307929993,0.0,0.0,0.0,0.0,1.188587307929993,0.0,0.0,0.0,0.0,0.0,10.697285652160645
