"","x"
"1","12"
"2","26"
"3","11"
"4","22"
"5","41"
"6","26"
"7","17"
"8","20"
"9","35"
"10","36"
"11","30"
"12","26"
"13","30"
"14","27"
"15","27"
"16","30"
"17","35"
"18","26"
"19","35"
"20","30"
"21","31"
"22","14"
"23","35"
"24","36"
"25","30"
"26","29"
"27","30"
"28","29"
"29","35"
"30","25"
"31","27"
"32","35"
"33","36"
"34","36"
"35","28"
"36","27"
"37","27"
"38","38"
"39","9"
"40","27"
"41","30"
"42","37"
"43","23"
"44","38"
"45","31"
"46","36"
"47","30"
"48","26"
"49","36"
"50","12"
"51","31"
"52","38"
"53","35"
"54","17"
"55","33"
"56","29"
"57","36"
"58","28"
"59","24"
"60","32"
"61","30"
"62","28"
"63","17"
"64","27"
"65","30"
"66","35"
"67","11"
"68","33"
"69","38"
"70","30"
"71","27"
"72","36"
"73","30"
"74","38"
"75","28"
"76","28"
"77","28"
"78","30"
"79","35"
"80","38"
"81","35"
"82","10"
"83","38"
"84","30"
"85","33"
"86","40"
"87","27"
"88","12"
"89","9"
"90","36"
"91","9"
"92","38"
"93","35"
"94","38"
"95","35"
"96","38"
"97","40"
"98","35"
"99","36"
"100","38"
"101","28"
"102","36"
"103","38"
"104","32"
"105","30"
"106","31"
"107","35"
"108","27"
"109","30"
"110","30"
"111","30"
"112","29"
"113","29"
"114","35"
"115","12"
"116","26"
"117","28"
"118","30"
"119","36"
"120","29"
"121","25"
"122","29"
"123","27"
"124","26"
"125","29"
"126","35"
"127","36"
"128","35"
"129","35"
"130","30"
"131","30"
"132","27"
"133","37"
"134","14"
"135","25"
"136","9"
"137","40"
"138","29"
"139","30"
"140","35"
"141","28"
"142","35"
"143","30"
"144","35"
"145","38"
"146","36"
"147","30"
"148","40"
"149","5"
"150","2"
"151","29"
"152","39"
"153","30"
"154","35"
"155","12"
"156","29"
"157","26"
"158","38"
"159","38"
"160","30"
"161","35"
"162","31"
"163","27"
"164","27"
"165","40"
"166","30"
"167","26"
"168","27"
"169","30"
"170","30"
"171","30"
"172","12"
"173","27"
"174","26"
"175","27"
"176","30"
"177","27"
"178","40"
"179","40"
"180","29"
"181","36"
"182","26"
"183","28"
"184","29"
"185","26"
"186","39"
"187","30"
"188","28"
"189","29"
"190","40"
"191","30"
"192","7"
"193","35"
"194","36"
"195","27"
"196","27"
"197","10"
"198","36"
"199","35"
"200","30"
"201","35"
"202","36"
"203","38"
"204","36"
"205","27"
"206","35"
"207","26"
"208","36"
"209","35"
"210","30"
"211","36"
"212","40"
"213","10"
"214","36"
"215","26"
"216","30"
"217","36"
"218","35"
"219","36"
"220","36"
"221","38"
"222","30"
"223","36"
"224","17"
"225","28"
"226","28"
"227","33"
"228","29"
"229","36"
"230","11"
"231","29"
"232","30"
"233","26"
"234","40"
"235","36"
"236","35"
"237","29"
"238","30"
"239","12"
"240","27"
"241","30"
"242","11"
"243","12"
"244","36"
"245","36"
"246","30"
"247","36"
"248","14"
"249","30"
"250","36"
"251","30"
"252","36"
"253","35"
"254","39"
"255","30"
"256","30"
"257","26"
"258","34"
"259","27"
"260","28"
"261","28"
"262","36"
"263","12"
"264","25"
"265","11"
"266","31"
"267","26"
"268","30"
"269","38"
"270","22"
